Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,PokéBall Usage,Win Ratio,Battle Strategy,Number of Migrations,Rare Item Holder,Team Rocket
27,Pewter City,Middle,Fisherman,Rock,50,DuskBall,51,Unpredictable,25,FALSE,No
55,Viridian City,Middle,PokéMart Seller,Grass,35,HealBall,53,Unpredictable,19,FALSE,Yes
14,Pallet Town,High,Police Officer,Poison,96,NetBall,76,Aggressive,18,FALSE,No
41,Cerulean City,Middle,Gym Leader Assistant,Dragon,23,UltraBall,27,Defensive,10,FALSE,No
15,Pallet Town,Middle,Gym Leader Assistant,Ground,16,HealBall,51,Aggressive,17,TRUE,Yes
41,Lavender Town,High,Daycare Worker,Ground,87,TimerBall,53,Aggressive,18,TRUE,Yes
21,Celadon City,Low,PokéMart Seller,Ghost,58,MasterBall,52,Unpredictable,8,FALSE,No
25,Lavender Town,Middle,Gym Leader Assistant,Bug,84,LuxuryBall,35,Defensive,25,FALSE,No
40,Saffron City,Middle,Gym Leader Assistant,Fighting,73,DarkBall,44,Aggressive,6,FALSE,No
20,Cinnabar Island,Middle,PokéMart Seller,Electric,9,DarkBall,20,Defensive,2,FALSE,No
43,Fuchsia City,Middle,Casino Worker,Flying,98,PokéBall,55,Aggressive,5,FALSE,No
29,Vermilion City,Middle,Rocket Grunt,Ghost,8,HealBall,77,Aggressive,14,FALSE,No
11,Cerulean City,Middle,Breeder,Ice,95,TimerBall,34,Aggressive,3,FALSE,No
15,Viridian City,Middle,Fisherman,Psychic,70,DarkBall,23,Defensive,17,FALSE,No
40,Vermilion City,Low,Nurse,Rock,23,UltraBall,80,Defensive,2,FALSE,No
35,Cinnabar Island,Low,Researcher,Ghost,33,LuxuryBall,60,Unpredictable,25,FALSE,No
12,Fuchsia City,Low,Daycare Worker,Fire,81,DuskBall,54,Defensive,1,FALSE,No
49,Cerulean City,High,Police Officer,Fairy,96,MasterBall,37,Defensive,1,FALSE,No
